pmid,source
17803912,UniProtKB
17823742,GlyTouCan_glycan
17855742,GlyTouCan_glycan
17881000,UniProtKB
17889651,UniProtKB
17892882,GlyTouCan_glycan
17924658,UniProtKB
17925379,UniProtKB
17954916,UniProtKB
17956937,UniCarbKB
17956937,UniCarbKB_glycan
17960739,UniProtKB
17980170,UniProtKB
17989695,UniProtKB
18036614,UniProtKB
18042673,UniProtKB
18045869,GlyTouCan_glycan
18061361,UniProtKB
18065761,UniProtKB
18077410,UniProtKB
18084303,UniProtKB
18093521,UniProtKB
18093522,UniProtKB
18184719,GlyTouCan_glycan
1820200,UniCarbKB
1820200,UniCarbKB_glycan
18203274,UniProtKB
18214858,UniCarbKB
18214858,UniCarbKB_glycan
18227435,UniProtKB
18234225,UniProtKB
18247575,GlyTouCan_glycan
18250328,UniProtKB
18279843,GlyTouCan_glycan
1828263,GlyTouCan_glycan
18282768,GlyTouCan_glycan
18301385,GlyTouCan_glycan
18308854,UniProtKB
18313038,GlyTouCan_glycan
18313039,GlyTouCan_glycan
18316376,GlyTouCan_glycan
18340083,UniProtKB
18420026,UniProtKB
18420935,UniProtKB
18422615,GlyTouCan_glycan
18467335,UniProtKB
18474217,GlyTouCan_glycan
1847560,GlyTouCan_glycan
18488039,UniProtKB
18490449,UniProtKB
18491227,UniProtKB
18508581,UniProtKB
1850914,GlyTouCan_glycan
18515358,GlyTouCan_glycan
1851822,GlyTouCan_glycan
18533687,UniProtKB
18536718,UniProtKB
18547526,UniProtKB
18559974,UniProtKB
18561742,GlyTouCan_glycan
18585350,UniProtKB
18596036,UniProtKB
1860732,GlyTouCan_glycan
18642129,UniCarbKB
18642129,UniCarbKB_glycan
1864848,GlyTouCan_glycan
18648644,GlyTouCan_glycan
18657508,UniProtKB
18662810,GlyTouCan_glycan
18667431,GlyTouCan_glycan
18676855,UniProtKB
18678667,GlyTouCan_glycan
18690650,GlyTouCan_glycan
18691975,UniProtKB
18692472,UniProtKB
18695242,UniProtKB
18697946,UniProtKB
18702514,UniProtKB
18703501,UniProtKB
18715980,UniProtKB
18729387,UniCarbKB
18729387,UniCarbKB_glycan
1873810,GlyTouCan_glycan
18768470,UniProtKB
18768590,UniProtKB
18775332,UniProtKB
18775496,UniProtKB
18780401,UniProtKB
18787108,UniProtKB
18794910,UniProtKB
18795891,UniProtKB
18798567,GlyTouCan_glycan
18815274,UniProtKB
18824562,GlyTouCan_glycan
1883960,UniProtKB
1884198,GlyTouCan_glycan
1885588,UniProtKB
18925876,GlyTouCan_glycan
18929574,UniProtKB
18930737,UniProtKB
18952059,UniProtKB
18954144,GlyTouCan_glycan
18975951,UniProtKB
1898343,UniCarbKB
1898343,UniCarbKB_glycan
1898736,UniProtKB
1899031,UniCarbKB
1899031,UniCarbKB_glycan
1900431,UniProtKB
1901592,GlyTouCan_glycan
19017259,UniProtKB
19017797,UniProtKB
19021580,GlyTouCan_glycan
19038966,UniProtKB
19038967,UniProtKB
1904059,UniCarbKB
1904059,UniCarbKB_glycan
1904059,UniProtKB
19053759,UniProtKB
1908233,UniProtKB
19088065,UniCarbKB
19088065,UniCarbKB_glycan
19119025,UniProtKB
19122660,UniProtKB
19136951,UniProtKB
19139490,UniProtKB
19141282,UniProtKB
19153605,UniProtKB
19159218,GlyTouCan_glycan
19159218,UniProtKB
19162326,GlyTouCan_glycan
19167329,UniProtKB
19176480,UniProtKB
1918047,GlyTouCan_glycan
19196183,UniProtKB
19237744,UniProtKB
19252480,UniProtKB
19261632,GlyTouCan_glycan
